title,runtime,release_year
A Time to Love and a Time to Die,132.0,1958
Wilson,154.0,1944
The Pied Piper,87.0,1942
One Foot in Heaven,108.0,1941
Blossoms in the Dust,99.0,1941
"Maradona, the Hand of God",113.0,2007
The Citadel,110.0,1938
Railways,130.0,2010
One Night of Love,84.0,1934
Here Comes the Navy,87.0,1934
Flirtation Walk,97.0,1934
Shriek of the Mutilated,86.0,1974
Frenemies,86.0,2012
Captains of the Sands,96.0,2011
Alabama's Ghost,96.0,1973
Private's Progress,97.0,1956
You Are the Apple of My Eye,105.0,2011
"Namu, the Killer Whale",89.0,1966
"Grandview, U.S.A.",97.0,1984
Goodbye Again,120.0,1961
Dangerous Men,80.0,2005
Dollman vs. Demonic Toys,64.0,1993
Donald Glover: Weirdo,60.0,2011
2 Days in New York,91.0,2012
28 Hotel Rooms,82.0,2012
About The Pink Sky,113.0,2012
Ai Weiwei: Never Sorry,91.0,2012
Five Broken Cameras,90.0,2011
About Face: Supermodels Then and Now,75.0,2012
The Ambassador,93.0,2011
The Atomic States Of America,95.0,2012
Bachelorette,87.0,2012
Beasts of the Southern Wild,93.0,2012
Bestiary,72.0,2012
Big Boys Gone Bananas!*,90.0,2011
Black Rock,83.0,2012
Bones Brigade: An Autobiography,90.0,2012
California Solo,93.0,2012
Celeste & Jesse Forever,91.0,2012
Chasing Ice,74.0,2012
China Heavyweight,89.0,2012
The Comedy,95.0,2012
Compliance,90.0,2012
Detropia,93.0,2012
The End of Love,89.0,2013
Escape Fire: The Fight to Rescue American Healthcare,100.0,2012
Ethel,97.0,2012
Excision,81.0,2012
Father’s Chair,93.0,2013
A Fierce Green Fire,101.0,2013
Filly Brown,100.0,2013
A Place at the Table,84.0,2012
The First Time,95.0,2012
"For a Good Time, Call...",85.0,2012
For Ellen,93.0,2012
Goats,92.0,2012
Grabbers,94.0,2012
Remember My Name,94.0,1978
Busting,92.0,1974
Safety Patrol,96.0,1998
"Come Back, Little Sheba",96.0,1952
The Day,85.0,2011
Julia X,92.0,2011
Don't Hang Up,90.0,1975
Humanity and Paper Balloons,86.0,1937
Ghost,0.0,2012
Stories of Lost Souls,90.0,2004
La Tête d'un Homme,90.0,1933
The Exiles,72.0,1961
The Adventures of Sherlock Holmes and Dr. Watson: The Hound of the Baskervilles,154.0,1981
Hearts of the West,102.0,1975
Storm Over Asia,127.0,1928
Disraeli,90.0,1929
The Dragon Lives Again,0.0,1977
The Group,152.0,1966
Hello I Must Be Going,95.0,2012
I Am Not a Hipster,90.0,2013
The House I Live In,110.0,2012
Von Richthofen and Brown,97.0,1971
How to Survive a Plague,120.0,2012
The Imposter,95.0,2012
The Invisible War,93.0,2012
Black Roses,90.0,1988
Keep the Lights On,101.0,2012
Skippy,85.0,1931
Trader Horn,122.0,1931
Arrowsmith,108.0,1931
Bad Girl,90.0,1931
L,92.0,2012
The Last Elvis,92.0,2012
Smilin' Through,98.0,1932
Lay the Favorite,94.0,2012
Liberal Arts,97.0,2012
"Madrid, 1987",104.0,2011
Marina Abramović: The Artist Is Present,106.0,2012
Mosquita y Mari,85.0,2012
My Brother the Devil,111.0,2012
Nobody Walks,83.0,2012
The Other Dream Team,89.0,2012
An Oversimplification of Her Beauty,95.0,2012
Price Check,92.0,2012
The Super Cops,90.0,1974
Putin’s Kiss,85.0,2011
The Queen of Versailles,100.0,2012
Red Hook Summer,125.0,2012
Robot & Frank,85.0,2012
Room 237,102.0,2012
Safety Not Guaranteed,85.0,2012
Save the Date,98.0,2012
Searching for Sugar Man,85.0,2012
Shadow Dancer,101.0,2012
Me and My Gal,79.0,1932
Simon Killer,105.0,2012
Sleepwalk with Me,81.0,2012
Smashed,85.0,2012
Something from Nothing: The Art of Rap,106.0,2012
Teddy Bear,92.0,2012
The Tsunami and the Cherry Blossom,39.0,2011
Under African Skies,102.0,2012
V/H/S,116.0,2012
We’re Not Broke,81.0,2012
West of Memphis,150.0,2012
The Violent Enemy,94.0,1967
Young & Wild,92.0,2012
Your Sister's Sister,90.0,2011
Devil Hunter,102.0,1980
A Woman's Secret,84.0,1949
Whiplash,91.0,1948
Manichitrathazhu,169.0,1993
I Am Bruce Lee,90.0,2012
My Sucky Teen Romance,77.0,2011
Double Dynamite,80.0,1951
Sholem Aleichem: Laughing In The Darkness,93.0,2012
Bully,92.0,2011
The Pruitt-Igoe Myth,79.0,2012
Asylum of Satan,80.0,1972
House of Horrors,65.0,1946
Magic Christmas Tree,60.0,1964
Don't Open Till Christmas,86.0,1984
Shadows in an Empty Room,100.0,1976
House of Tolerance,122.0,2011
Oxygen,75.0,2009
Remains,88.0,2011
Buster e Billie,100.0,1974
Made For Each Other,100.0,1971
The Iron Rose,80.0,1973
The Invader,95.0,2011
Metamorphoses,80.0,1978
Zig Zag,105.0,1970
Million Dollar Mystery,95.0,1987
Kongo,86.0,1932
The Ghost of Yotsuya,76.0,1959
Banning,102.0,1967
The Bunny Game,76.0,2010
A Girl in Every Port,86.0,1952
Vine of the Soul: Encounters with Ayahuasca,52.0,2010
Between Heaven and Hell,94.0,1956
Chosin,86.0,2010
The Mars Underground,52.0,2007
Tooth Fairy 2,90.0,2012
7 Below,90.0,2012
Devil of the Desert Against the Son of Hercules,114.0,1964
Relax... It's Just Sex,110.0,1998
The Wearing of the Grin,7.0,1951
The Dot and the Line: A Romance in Lower Mathematics,10.0,1965
Nukie,106.0,1988
The Survivor,98.0,1981
Quest of the Delta Knights,97.0,1993
The Immortal Story,63.0,1968
Wedding in White,103.0,1972
Danger!! Death Ray,93.0,1967
The Black Orchid,94.0,1958
Fires Were Started,63.0,1943
Bonnie's Kids,105.0,1973
The Flower in Hell,87.0,1958
Routine Pleasures,81.0,1986
Oxy-Morons,111.0,2011
Naram Garam,133.0,1981
San Pietro,40.0,1945
Beyond Our Ken,97.0,2004
Captive Wild Woman,61.0,1943
Jungle Woman,61.0,1944
Jungle Captive,63.0,1945
Mystery of Edwin Drood,87.0,1935
Man Made Monster,59.0,1941
The Brute Man,58.0,1946
Stitches,89.0,1985
Woman Wanted,110.0,1999
Black Girl,97.0,1972
Casablanca Express,90.0,1989
"Csocsó, avagy éljen május elseje!",94.0,2001
Venetian Bird,94.0,1952
So Fine,90.0,1981
Break Free,113.0,2003
Courage,90.0,2009
Donner Pass,90.0,2012
Robot Holocaust,79.0,1986
Perfumed Nightmare,93.0,1977
Lovelines,93.0,1984
Hell's Hinges,64.0,1916
Alice in Wonderland,30.0,1981
Gimme an 'F',101.0,1984
Don Quixote,100.0,1957
Pandemonium,82.0,1982
Play It As It Lays,99.0,1972
As Luck Would Have It,98.0,2011
Summer School,81.0,1978
The Fat Albert Halloween Special,23.0,1977
The Mad Masters,36.0,1955
Santa Claus Has Blue Eyes,47.0,1966
The Life of Reilly,84.0,2006
Trenchcoat,91.0,1983
Double Indemnity,75.0,1973
The Comic,94.0,1969
A Dandy in Aspic,107.0,1968
Cinderella Liberty,117.0,1973
Blood,90.0,2006
My Life in Orange,110.0,2011
Agneepath,174.0,2012
Ma L'Amore... Sì,0.0,2006
The Well-Digger's Daughter,0.0,1940
The Great White Silence,108.0,1924
The Perks of Being a Wallflower,102.0,2012
The Marrying Kind,92.0,1952
"Italy: Love It, or Leave it",75.0,2011
Somewhere in Sonora,59.0,1933
The Telegraph Trail,54.0,1933
Playback,95.0,2012
Lawless Range,53.0,1935
Coming Home,90.0,2003
Murder in the Private Car,63.0,1934
The City Dark,0.0,2012
Mahler,115.0,1974
Profit Motive and the Whispering Wind,58.0,2007
The Watermen,96.0,2011
The White Reindeer,74.0,1952
Witchcraft II: The Temptress,88.0,1990
Secrets of a Soul,97.0,1926
Warning Shadows,90.0,1923
Penguin Pool Murder,70.0,1932
Chronicle of a Summer,86.0,1961
The House of the Yellow Carpet,89.0,1983
Screamtime,91.0,1983
Next of Kin,89.0,1982
Rocktober Blood,93.0,1984
They're Playing with Fire,96.0,1984
Too Scared to Scream,100.0,1985
Hyper Sapien: People from Another Star,92.0,1986
Shaolin Drunkard,92.0,1983
A Name for Evil,74.0,1973
Shatter Dead,0.0,1994
Memory Lane,98.0,2010
Kotoko,91.0,2011
Café de Flore,120.0,2011
Welcome to the North,110.0,2012
Life 2.0,100.0,2010
Tere Naal Love Ho Gaya,0.0,2012
"London, Paris, New York",100.0,2012
Agent Vinod,157.0,2012
Housefull 2,145.0,2012
First Monday in October,98.0,1981
Dreams of Dust,86.0,2008
The Matador,74.0,2008
Slow Action,46.0,2010
Dog Star Man: Part I,30.0,1962
I for India,70.0,2005
Hickey & Boggs,111.0,1972
Variety,97.0,1983
Slaughterhouse,85.0,1987
Deadly Dreams,79.0,1988
Destroyer,94.0,1988
Nightmares,90.0,1980
The Forest,85.0,1982
Island of Blood,82.0,1982
American Nightmare,88.0,1983
Airborne,78.0,2012
The Thieving Hand,5.0,1908
Fantasmagorie,2.0,1908
The Clown at Midnight,91.0,1999
The Lone Wolf Meets a Lady,71.0,1940
The Lone Wolf Strikes,67.0,1940
Chosen Survivors,130.0,1974
Mantis in Lace,87.0,1968
Underworld,95.0,1996
Killer,97.0,1994
...tick... tick... tick...,100.0,1970
Cracked Nuts,65.0,1931
The Child,135.0,2000
Cleopatra Wong,110.0,1978
Happy Family,83.0,2006
The Empty Canvas,105.0,1963
The Hawaiians,134.0,1970
Harriet Craig,90.0,1950
John Lennon - Plastic Ono Band,52.0,2008
Making the Boys,90.0,2011
Six Degrees of Celebration 2,106.0,2011
Citizen's Band,98.0,1977
Rich Kids,101.0,1979
The Pompatus of Love,99.0,1996
Out At The Wedding,96.0,2007
Madonna's Pig,100.0,2011
More Wild Wild West,94.0,1980
A One-Way Trip to Antibes,105.0,2011
The Wild Wild West Revisited,96.0,1979
Undertow,71.0,1949
Tomie: Unlimited,85.0,2011
Boyhood,164.0,2014
Tony Arzenta,90.0,1973
Vice Squad,87.0,1953
StreetDance 2,85.0,2012
Young Black Jack,128.0,2011
Natimorto,92.0,2011
The Booth,73.0,2005
33 Scenes from Life,100.0,2008
One Thousand and One Nights,128.0,1969
The Three Stooges,88.0,2000
Brake,92.0,2012
Movie Movie,105.0,1978
Hotel E,28.0,1992
No. 12: Heaven and Earth Magic,66.0,1962
Pretty Devils,95.0,2000
Girl Play,80.0,2004
Take Me Home,97.0,2011
Frozen Silence,114.0,2011
A Few Best Men,97.0,2011
"Snowflake, the White Gorilla",86.0,2011
To Catch a Spy,94.0,1971
Wrinkles,89.0,2011
Step Up Revolution,99.0,2012
Skylab,113.0,2011
Atelier Fontana,200.0,2011
Einer wie Bruno,0.0,2012
Only the Strong Survive,95.0,2002
Something Evil,73.0,1972
Captive Women,64.0,1952
The Maze,80.0,1953
East Meets West,100.0,2011
The Sin of Madelon Claudet,75.0,1931
Min and Bill,66.0,1930
Coquette,76.0,1929
Joy of Sex,93.0,1984
Ladybug Ladybug,82.0,1963
California Dreaming,92.0,1979
Jaws of Satan,92.0,1981
The Quiet American,120.0,1958
Requiem for a Village,68.0,1975
Confidence Girl,81.0,1952
The Cool World,105.0,1963
The Day He Arrives,79.0,2011
Whores' Glory,110.0,2011
David Holzman's Diary,74.0,1967
Dr. Kildare Goes Home,79.0,1940
Trishna,117.0,2011
Bonsai,95.0,2011
Back to Stay,95.0,2011
Elles,96.0,2011
A Better Life,110.0,2012
The First Man,100.0,2011
Windwalker,108.0,1980
Las Acacias,85.0,2011
Tale of Cinema,89.0,2005
Speaking Parts,93.0,1989
Archangel,90.0,1990
Nature of the Beast,91.0,1995
Rage,85.0,2010
The Seventh Cross,110.0,1944
Flyin' Ryan,84.0,2003
Time Of My Life,120.0,2012
Dadetown,93.0,1995
Zero Kelvin,118.0,1995
Bag It,74.0,2011
Streetwalkin',86.0,1985
Jaguar Lives!,90.0,1979
The Outrage,96.0,1964
Half Shot at Sunrise,78.0,1930
The Stranglers of Bombay,80.0,1959
Kentucky Kernels,75.0,1934
The Lion,96.0,1962
Svend,110.0,2011
Blood and Roses,87.0,1960
Men in Hope,115.0,2011
The Third Prince,84.0,1982
Hot Pepper,54.0,1973
Always for Pleasure,58.0,1978
The Scarlet Letter,115.0,1926
Run for Cover,93.0,1955
The Caretakers,97.0,1963
Garlic Is As Good As Ten Mothers,51.0,1980
In Heaven There Is No Beer?,50.0,1984
Riot,96.0,1969
Showdown,99.0,1973
Youngblood,90.0,1978
Mamitas,109.0,2012
Fire with Fire,103.0,1986
Karate-Robo Zaborgar,114.0,2011
The Dynamiter,73.0,2011
All In This Tea,70.0,2007
Night Flight,84.0,1933
Too Hot to Handle,85.0,1977
TNT Jackson,72.0,1974
The Twilight People,84.0,1972
The Constant Nymph,112.0,1943
The Godless Girl,113.0,1929
The Son of the Sheik,68.0,1926
Shattered Glass,0.0,2002
A Man Vanishes,130.0,1967
Hammy's Boomerang Adventure,5.0,2006
Ruby,85.0,1977
We'll Take Manhattan,90.0,2012
Zettl,109.0,2012
Trava: Fist Planet,52.0,2003
The Stoneman Murders,0.0,2009
Dooman River,90.0,2010
Fuck Up,100.0,2012
Arsenal,70.0,1929
"Burzynski, the Movie",105.0,2010
My Boyfriend an Angel,97.0,2011
Love Lasts Three Years,98.0,2011
A.C.A.B.: All Cops Are Bastards,112.0,2012
Free Men,99.0,2011
Play,118.0,2011
Perry Mason: The Case of the Killer Kiss,96.0,1993
Perry Mason: The Case of the Heartbroken Bride,90.0,1992
Perry Mason: The Case of the Glass Coffin,100.0,1991
The 7th Dawn,123.0,1964
Boom!,113.0,1968
The Frozen North,60.0,2006
Greetings to the Devil,90.0,2011
Reconstruction,100.0,1970
Maya Lin: A Strong Clear Vision,105.0,1995
The Star,89.0,1952
The Double,88.0,1971
Swan Lake,75.0,1981
Margaret Thatcher: The Long Walk to Finchley,84.0,2008
The Old Crocodile,12.0,2005
Legend of the Forest,30.0,1987
Murari,0.0,2001
Youth Runs Wild,67.0,1944
Some Days Are Better Than Others,93.0,2011
Mademoiselle Fifi,69.0,1944
Littlerock,83.0,2010
Free Radicals: A History of Experimental Film,82.0,2012
Island of the Blue Dolphins,93.0,1964
Méditerranée,45.0,1963
Hara-Kiri: Death of a Samurai,126.0,2011
Detroit 9000,106.0,1973
Little Boy Lost,95.0,1953
The Glory Brigade,82.0,1953
Women of the Night,74.0,1948
The Saga of the Viking Women and Their Voyage to the Waters of the Great Sea Serpent,66.0,1957
The FP,82.0,2011
My Way,148.0,2012
Le Chef,84.0,2012
GhostWatcher,90.0,2002
The Student Prince in Old Heidelberg,106.0,1928
Starry Starry Night,99.0,2011
The Woman Who Drinks,91.0,2001
Old Man Made in Spain,90.0,1969
A Taste of Romance,84.0,2012
Filth,97.0,2013
Chasing Two Hares,77.0,1961
The Inner Scar,60.0,1972
The Rolling Stones - Let's Spend the Night Together,94.0,1982
Rat Pfink a Boo Boo,72.0,1966
Strangers When We Meet,117.0,1960
India Song,120.0,1975
"Jasper, Texas",114.0,2003
Model Shop,95.0,1969
Tom Papa: Live in New York City,41.0,2011
Liar's Moon,106.0,1982
Collision Earth,86.0,2011
The New Year,96.0,2010
Cafe Noir,197.0,2009
Great Directors,90.0,2010
Night Call Nurses,74.0,1972
Candy Stripe Nurses,80.0,1974
Summer School Teachers,85.0,1974
Off the Menu: The Last Days of Chasen's,90.0,1998
Sixpack,82.0,2011
Always,108.0,2011
Talaash,149.0,2012
The Intruder,90.0,1999
"To Sir, with Love II",0.0,1996
Follow Me!,95.0,1972
The Comedians,152.0,1967
Bottled Life: Nestle's Business with Water,0.0,2012
The House Where Evil Dwells,88.0,1982
4 Elements,89.0,2006
Regeneration,72.0,1915
Why We Fight: The Nazis Strike,42.0,1943
Why We Fight: The Battle of China,62.0,1944
Hell's Highway,62.0,1932
Cookie,94.0,1989
The Children,94.0,1985
For the Love of Movies: The Story of American Film Criticism,80.0,2009
Valerie,80.0,2007
This Way Up,9.0,2008
The Fighting Lady,61.0,1944
A Cab for Three,90.0,2001
Child of Rage,94.0,1992
The Next Man,108.0,1976
La Fuga,117.0,2001
Torpedo Bombers,96.0,1983
I Could Go on Singing,100.0,1963
Stray Dog,82.0,2007
Teenage Gang Debs,0.0,1966
The Cat and the Canary,98.0,1979
Perfect Body,100.0,1997
Adventures Of A Taxi Driver,89.0,1976
The Incredible 2-Headed Transplant,87.0,1971
Welcome Home Brother Charles,91.0,1975
Lunch Wagon,88.0,1981
Fighting Mad,90.0,1976
Jailbait Babysitter,74.0,1977
Deep Blues,91.0,1992
The Cloth,88.0,2012
The Sleep Room,183.0,1998
Russian Terminator,87.0,1989
The Day They Robbed the Bank of England,85.0,1960
The In Crowd,95.0,1988
An American Tragedy,96.0,1931
The Other Side of the Mountain,103.0,1975
The Amulet of Ogum,112.0,1974
Bad Girl Island,90.0,2009
Dying Room Only,74.0,1973
The Pack,95.0,1977
All Fall Down,111.0,1962
Welcome to L.A.,106.0,1976
Verboten!,93.0,1959
Strike Commando,104.0,1987
Deadbeat at Dawn,80.0,1988
Crash Landing,88.0,2006
Tarkan and the Blood of the Vikings,86.0,1971
The Brave Bulls,106.0,1951
Oki's Movie,80.0,2010
Like You Know It All,126.0,2009
The Power of Kangwon Province,110.0,1998
The Day a Pig Fell into the Well,115.0,1996
Mutant Hunt,76.0,1987
Three on a Meathook,80.0,1973
Hunky Dory,110.0,2011
Fakta Ladh Mhana,145.0,2011
Tie Xi Qu: West of the Tracks,551.0,2002
Snapshot,92.0,1979
Paper Lion,107.0,1968
Treasure of the Yankee Zephyr,108.0,1981
Tall Story,91.0,1960
Subarnarekha,143.0,1965
All Superheroes Must Die,78.0,2011
Exit Humanity,114.0,2011
Twenty Years Later,119.0,1984
Playing,100.0,2007
Santiago,80.0,2007
Phantom of the Mall: Eric's Revenge,91.0,1989
Desire,103.0,2011
The Redeemer: Son of Satan!,84.0,1978
Gor,94.0,1987
Sunnyside Up,121.0,1929
Gun The Man Down,76.0,1956
Mina Tannenbaum,0.0,1994
Tell Them Anything You Want: A Portrait of Maurice Sendak,39.0,2009
They Fought for Their Motherland,137.0,1975
All Together,96.0,2011
La balance,103.0,1982
The Hounds,87.0,2011
The Fantastic Flying Books of Mr Morris Lessmore,15.0,2011
"Come Back, Africa",95.0,1959
The Chance of a Lifetime,65.0,1943
Sinbad,90.0,1971
I'm Gonna Explode,106.0,2008
"The Cartoonist: Jeff Smith, BONE and the Changing Face of Comics",76.0,2009
Call Her Savage,88.0,1932
Mixed Blood,98.0,1984
The Candy Tangerine Man,95.0,1975
D.O.A.,95.0,1980
Bel Ami,102.0,2012
A Long Ride from Hell,95.0,1968
The Man Who Had His Hair Cut Short,94.0,1966
Big Bad Mama II,83.0,1987
She Devils of the SS,95.0,1972
Oliver Sherman,90.0,2011
Wide Open,98.0,1974
Picasso and Braque Go to the Movies,62.0,2008
Love Camp,71.0,1977
It's Such a Beautiful Day,23.0,2011
Himiko,100.0,1974
Louis Theroux: The Ultra Zionists,60.0,2011
"You, Me and Him",18.0,2007
Paths of Hate,10.0,2011
Ghost Graduation,88.0,2012
Rose Hill,90.0,1997
August,100.0,2011
Take This Waltz,116.0,2011
11 Minutes Ago,83.0,2007
Paap,115.0,2003
Happy,75.0,2011
Wild Bill,98.0,2011
In Search of Ancient Astronauts,0.0,1973
The Tall Man,106.0,2012
The UFO Incident,92.0,1975
The Internecine Project,89.0,1974
Bare Knuckles,90.0,1977
Tom Dick and Harry,87.0,1941
Track of the Cat,102.0,1954
The Young Savages,103.0,1961
Mad Ron's Prevues from Hell,83.0,1987
The Alien Factor,80.0,1978
Ricco,83.0,1973
Massacre in Dinosaur Valley,88.0,1985
House of Whipcord,102.0,1974
Blue Rita,75.0,1977
A Married Couple,97.0,1969
Zombie Christ,100.0,2010
Crazed Fruit,86.0,1956
Gate of Flesh,90.0,1964
Grip of the Strangler,78.0,1958
The Unholy,102.0,1988
They Call Me Macho Woman,81.0,1991
The Item,100.0,1999
Zodiac: The Race Begins...,90.0,2006
2-Headed Shark Attack,90.0,2012
John Mulaney: New In Town,60.0,2012
Silence,110.0,2011
Last Man Standing,84.0,2011
Marcello Marcello,97.0,2008
7Aum Arivu,168.0,2011
Under the Boardwalk: The Monopoly Story,88.0,2011
Le Crabe-Tambour,0.0,1977
Red Psalm,87.0,1972
Warrendale,101.0,1967
Dying at Grace,148.0,2003
Rosewood Lane,97.0,2011
Chattahoochee,97.0,1989
Suzanne's Career,54.0,1963
5 Steps to Danger,81.0,1957
The Black Raven,61.0,1943
China Gate,97.0,1957
A Carol for Another Christmas,84.0,1964
Patterns,83.0,1956
The Moment of Truth,110.0,1965
Gunsmith Cats: Bulletproof!,90.0,1995
Dead Awake,100.0,2001
Sound of My Voice,85.0,2011
News from Home,85.0,1977
The Legend of Lylah Clare,130.0,1968
The Cosmonaut,93.0,2013
Alois Nebel,84.0,2011
4:44 Last Day on Earth,85.0,2011
Ayn Rand & the Prophecy of Atlas Shrugged,87.0,2011
Voyage of Time: Life's Journey,90.0,2017
Intimidation,65.0,1960
Stoker,99.0,2013
Absolutely Anything,85.0,2015
Inside Llewyn Davis,105.0,2013
Noah,139.0,2014
Knight of Cups,118.0,2015
Amour,127.0,2012
Seven Psychopaths,110.0,2012
With Great Power: The Stan Lee Story,80.0,2010
The Island President,101.0,2012
La Vérité si je Mens ! 3,120.0,2012
Bram Stoker's Dracula,100.0,1974
The Face of Marble,72.0,1946
Wishful Thinking,91.0,1996
Floods of Fear,84.0,1958
Tusk,119.0,1980
Body and Soul,102.0,1925
Sanders of the River,98.0,1935
Getting It Right,102.0,1989
1st to Die,0.0,2003
Miami Magma,84.0,2011
Alambrista!,110.0,1977
The Road Builder,97.0,1971
Once Upon A Time in Phuket,105.0,2011
Stockholm East,95.0,2011
ID:A,104.0,2011
Jackpot,86.0,2011
Let There Be Light,58.0,1946
The Message,198.0,1976
Leo's Room,95.0,2010
The One Warrior,87.0,2011
Taking Chances,86.0,2011
Razend,0.0,2011
The Proud Valley,76.0,1940
The Extraordinary Voyage,78.0,2011
In Vanda's Room,170.0,2001
Louie Bluie,60.0,1985
Suture,96.0,1993
Prince of Broadway,102.0,2008
Business as Usual,89.0,1987
Big Eyes,105.0,2014
The Desert of Forbidden Art,80.0,2011
Terminator Genisys,126.0,2015
Knight Without Armour,100.0,1937
A Man Called Sarge,88.0,1990
Heat Lightning,63.0,1934
Monster Dog,84.0,1984
The Naked Face,103.0,1984
The Low Life,96.0,1995
The Whisperer in Darkness,104.0,2011
Pharaoh's  Army,90.0,1995
Señor Droopy,8.0,1949
"I Travel Because I Have to, I Come Back Because I Love You",75.0,2009
Everyone Loves Alice,113.0,2002
King's Road,99.0,2010
Clerks - The Flying Car,7.0,2002
Crackers,98.0,1984
The Damned,105.0,1947
The Fixer,132.0,1968
Beyond,90.0,2012
"Oh, Bomb!",95.0,1964
Alice in Wonderland,52.0,1915
Alien Space Avenger,80.0,1989
Shirin,92.0,2008
Love's Everlasting Courage,89.0,2011
Mikey,90.0,1992
The Weekend Murders,98.0,1970
The Guard from the Underground,96.0,1992
Moms on Strike,93.0,2002
Outcast of the Islands,102.0,1951
Hornet's Nest,110.0,1970
High Crime,100.0,1973
17 Girls,87.0,2011
Absent,87.0,2011
The Agony and Ecstasy of Phil Spector,100.0,2008
In the Arms of a Killer,93.0,1992
Sambizanga,102.0,1973
Dogora,0.0,2004
Goodbye,104.0,2011
From the Clouds to the Resistance,104.0,1979
Slither,97.0,1973
Riddick,119.0,2013
That's My Boy,116.0,2012
The ABCs of Death,123.0,2013
Struck by Lightning,90.0,2012
Relentless,92.0,1989
Quitting,114.0,2001
Document of the Dead,91.0,1985
Foxcatcher,134.0,2014
The Company You Keep,121.0,2012
The East,116.0,2013
Flight,138.0,2012
Eugenie,87.0,1970
Hyde Park on Hudson,94.0,2012
Pan,115.0,1995
Skyjacked,101.0,1972
Oldboy,104.0,2013
The Sea of Grass,123.0,1947
Bulletproof,94.0,1988
The Unknown Soldier,97.0,2006
A Song of Love,26.0,1950
The Big Wedding,90.0,2013
The Pill,83.0,2011
Highly Dangerous,90.0,1950
Kevin,36.0,2011
You Can't Get Away with Murder,89.0,1939
Chain Lightning,94.0,1950
A Ghost in Monte Carlo,90.0,1990
Animation Runner Kuromi,40.0,2001
Death Is a Caress,89.0,1949
No Blood Relation,94.0,1932
La Cucaracha,97.0,1998
Krakatoa: The Last Days,87.0,2006
The Dark,92.0,1979
Savage Abduction,82.0,1973
Jefferson in Paris,139.0,1995
There's Always Vanilla,93.0,1971
Autoerotic,72.0,2011
The Blizzard,76.0,1965
Bucktown,94.0,1975
The Legend of Nigger Charley,98.0,1972
Brotherhood of Death,85.0,1976
Circus,94.0,1936
What's New About Love?,121.0,2012
Movie 43,90.0,2013
Uncle Kent,72.0,2011
Trouble with the Curve,111.0,2012
Here Comes the Boom,105.0,2012
Life of Pi,127.0,2012
Inkubus,82.0,2011
Simple Things,102.0,2007
New Muslim Cool,83.0,2009
Microwave Massacre,76.0,1983
Werewolf,99.0,1995
The Casino Murder Case,82.0,1935
The Teacher,98.0,1974
Mr. Wu,90.0,1927
Homebodies,96.0,1974
Tuareg: Desert Warrior,95.0,1984
The Island 2: The Hunt for the Lost Treasure,109.0,2011
Kidco,105.0,1984
Sweeney Todd: The Demon Barber of Fleet Street,76.0,1936
Lady Scarface,66.0,1941
The Last Journey,66.0,1936
Beautiful Stranger,89.0,1954
Two Smart People,93.0,1946
Sisters in Law,104.0,2005
Chain Camera,0.0,2001
Yeast,78.0,2008
Cheerful Wind,90.0,1981
Valley of the Dragons,82.0,1961
The Clown,91.0,1953
Where Once We Walked,126.0,2010
Ek Ajnabee,143.0,2005
Seeking a Friend for the End of the World,101.0,2012
Sparrows Can't Sing,94.0,1963
Poor Pierrot,4.0,1892
The Skeleton Dance,6.0,1929
Tigrero: A Film That Was Never Made,75.0,1994
The Hypothesis of the Stolen Painting,66.0,1978
Sparkle,116.0,2012
Parental Guidance,104.0,2012
On the Bowery,65.0,1957
A Beginner's Guide to Endings,92.0,2010
Brothers,120.0,2011
"So Evil, So Young",77.0,1963
The Werewolf of Washington,90.0,1973
Cover-Up,90.0,1991
"Walk Softly, Stranger",81.0,1950
Double Trouble,86.0,1992
Romanovin kivet,90.0,1993
Dear Pillow,84.0,2004
Whispers in the Dark,103.0,1992
The Lost One,98.0,1951
Dr. Ehrlich's Magic Bullet,103.0,1940
Daughter of Shanghai,62.0,1937
Manny & Lo,88.0,1996
Boca,100.0,2010
Down Twisted,88.0,1987
The White Bus,46.0,1967
Erik the Conqueror,90.0,1961
"I Flunked, But...",65.0,1930
Where Now Are the Dreams of Youth?,86.0,1932
A Royal Affair,137.0,2012
Hello! How Are You?,102.0,2010
Zorns Lemma,60.0,1970
Barbara,105.0,2012
Newsfront,110.0,1978
Kwik Stop,110.0,2001
It  Happens Every Spring,87.0,1949
American Scary,92.0,2006
Pirosmani,85.0,1969
The Purple Taxi,120.0,1977
Secrets of Eden,85.0,2012
A Woman's Vengeance,96.0,1948
Palimpsest,85.0,2006
Running Hot,95.0,1984
The Zebra Killer,92.0,1974
Cops and Robbers,89.0,1973
Chandler,85.0,1971
Visit to a Small Planet,85.0,1960
Robo Vampire,90.0,1988
Black Eye,98.0,1974
Violent Summer,100.0,1959
Wolfsburg,90.0,2003
Wavelength,43.0,1967
The Quiet Room,93.0,1996
Tattooed Life,87.0,1965
"Yes, Giorgio",110.0,1982
Any Questions for Ben?,114.0,2012
Queens Of Evil,90.0,1970
Chapiteau-Show,207.0,2011
Liza Minnelli: Liza With a Z,55.0,1972
Angel of Destruction,86.0,1994
Cruel Story of Youth,96.0,1960
Fighting Delinquents,80.0,1960
Good-for-Nothing,88.0,1960
Avé,86.0,2012
"Detective Bureau 2-3: Go to Hell, Bastards!",89.0,1963
Pokémon the Movie White: Victini and Zekrom,96.0,2011
A Town Like Alice,117.0,1956
Assassination,104.0,1964
